example_id                                                         | status  | run_time        |
./spec/controllers/users_controller_spec.rb[1:2:1]                 | passed  | 0.04852 seconds |
./spec/controllers/users_controller_spec.rb[1:2:2]                 | passed  | 0.05542 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1]               | passed  | 0.03752 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:2]               | passed  | 0.0337 seconds  |
./spec/controllers/users_controller_spec.rb[1:3:2:1]               | passed  | 0.04693 seconds |
./spec/controllers/users_controller_spec.rb[1:3:2:2]               | passed  | 0.05728 seconds |
./spec/controllers/users_controller_spec.rb[1:4:1]                 | passed  | 0.04951 seconds |
./spec/controllers/users_controller_spec.rb[1:4:2]                 | passed  | 0.04903 seconds |
./spec/controllers/users_controller_spec.rb[1:5:1]                 | passed  | 0.0246 seconds  |
./spec/controllers/users_controller_spec.rb[1:5:2]                 | passed  | 0.04124 seconds |
./spec/controllers/users_controller_spec.rb[1:5:3]                 | passed  | 0.02951 seconds |
./spec/controllers/users_controller_spec.rb[1:5:4:1]               | passed  | 0.04328 seconds |
./spec/controllers/users_controller_spec.rb[1:5:4:2]               | passed  | 0.03796 seconds |
./spec/controllers/users_controller_spec.rb[1:5:4:3]               | passed  | 0.02547 seconds |
./spec/controllers/users_controller_spec.rb[1:5:4:4]               | passed  | 0.05733 seconds |
./spec/controllers/users_controller_spec.rb[1:5:5:1]               | passed  | 0.07489 seconds |
./spec/helpers/application_helper_spec.rb[1:1:1:1]                 | passed  | 0.0101 seconds  |
./spec/helpers/application_helper_spec.rb[1:1:1:2:1]               | passed  | 0.00686 seconds |
./spec/helpers/application_helper_spec.rb[1:1:1:2:2]               | passed  | 0.00771 seconds |
./spec/helpers/application_helper_spec.rb[1:1:1:3:1]               | passed  | 0.00793 seconds |
./spec/helpers/application_helper_spec.rb[1:1:2:1]                 | passed  | 0.01095 seconds |
./spec/helpers/application_helper_spec.rb[1:2:1]                   | passed  | 0.00681 seconds |
./spec/helpers/application_helper_spec.rb[1:3:1:1]                 | passed  | 0.01267 seconds |
./spec/helpers/application_helper_spec.rb[1:3:2:1]                 | passed  | 0.01119 seconds |
./spec/helpers/application_helper_spec.rb[1:4:1:1]                 | passed  | 0.00602 seconds |
./spec/helpers/application_helper_spec.rb[1:4:2:1]                 | passed  | 0.01909 seconds |
./spec/helpers/environment_helper_spec.rb[1:1:1]                   | passed  | 0.00558 seconds |
./spec/helpers/environment_helper_spec.rb[1:1:2]                   | passed  | 0.00699 seconds |
./spec/helpers/environment_helper_spec.rb[1:1:3]                   | passed  | 0.01055 seconds |
./spec/helpers/environment_helper_spec.rb[1:1:4]                   | passed  | 0.00758 seconds |
./spec/helpers/environment_helper_spec.rb[1:2:1]                   | passed  | 0.00673 seconds |
./spec/helpers/environment_helper_spec.rb[1:3:1]                   | passed  | 0.0086 seconds  |
./spec/helpers/environment_helper_spec.rb[1:4:1]                   | passed  | 0.00612 seconds |
./spec/helpers/harvest_schedules_helper_spec.rb[1:1:1]             | passed  | 0.00718 seconds |
./spec/helpers/harvest_schedules_helper_spec.rb[1:2:1]             | passed  | 0.00694 seconds |
./spec/helpers/harvest_schedules_helper_spec.rb[1:2:2]             | passed  | 0.00663 seconds |
./spec/helpers/harvest_schedules_helper_spec.rb[1:3:1]             | passed  | 0.00684 seconds |
./spec/helpers/harvest_schedules_helper_spec.rb[1:3:2]             | passed  | 0.00896 seconds |
./spec/helpers/parsers_helper_spec.rb[1:1:1:1]                     | passed  | 0.01074 seconds |
./spec/helpers/parsers_helper_spec.rb[1:1:2:1]                     | passed  | 0.00841 seconds |
./spec/helpers/parsers_helper_spec.rb[1:1:3:1]                     | passed  | 0.0121 seconds  |
./spec/helpers/parsers_helper_spec.rb[1:1:4:1]                     | passed  | 0.00768 seconds |
./spec/helpers/parsers_helper_spec.rb[1:1:5:1:1]                   | passed  | 0.00967 seconds |
./spec/helpers/parsers_helper_spec.rb[1:1:5:2:1]                   | passed  | 0.01222 seconds |
./spec/helpers/parsers_helper_spec.rb[1:1:5:3:1]                   | passed  | 0.01929 seconds |
./spec/models/ability_spec.rb[1:1:1]                               | passed  | 0.03243 seconds |
./spec/models/ability_spec.rb[1:1:2]                               | passed  | 0.04139 seconds |
./spec/models/ability_spec.rb[1:1:3:1]                             | passed  | 0.04433 seconds |
./spec/models/ability_spec.rb[1:1:3:2]                             | passed  | 0.03972 seconds |
./spec/models/ability_spec.rb[1:1:4:1]                             | passed  | 0.03333 seconds |
./spec/models/ability_spec.rb[1:1:4:2]                             | passed  | 0.04712 seconds |
./spec/models/ability_spec.rb[1:1:5:1]                             | passed  | 0.04305 seconds |
./spec/models/ability_spec.rb[1:1:5:2:1]                           | passed  | 0.03513 seconds |
./spec/models/ability_spec.rb[1:1:5:2:2]                           | passed  | 0.03301 seconds |
./spec/models/ability_spec.rb[1:1:5:3]                             | passed  | 0.04136 seconds |
./spec/models/ability_spec.rb[1:1:5:4]                             | passed  | 0.03673 seconds |
./spec/models/ability_spec.rb[1:1:5:5]                             | passed  | 0.04415 seconds |
./spec/models/ability_spec.rb[1:1:6:1]                             | passed  | 0.04059 seconds |
./spec/models/ability_spec.rb[1:1:6:2]                             | passed  | 0.03911 seconds |
./spec/models/ability_spec.rb[1:1:7:1]                             | passed  | 0.03675 seconds |
./spec/models/ability_spec.rb[1:1:7:2]                             | passed  | 0.03729 seconds |
./spec/models/ability_spec.rb[1:1:8]                               | passed  | 0.03453 seconds |
./spec/models/abstract_job_spec.rb[1:1:1]                          | passed  | 0.00811 seconds |
./spec/models/abstract_job_spec.rb[1:1:2]                          | passed  | 0.01982 seconds |
./spec/models/abstract_job_spec.rb[1:1:3]                          | passed  | 0.01124 seconds |
./spec/models/abstract_job_spec.rb[1:1:4]                          | passed  | 0.00615 seconds |
./spec/models/abstract_job_spec.rb[1:1:5]                          | passed  | 0.00781 seconds |
./spec/models/abstract_job_spec.rb[1:1:6]                          | passed  | 0.008 seconds   |
./spec/models/abstract_job_spec.rb[1:1:7]                          | passed  | 0.00717 seconds |
